KUNNR	HKUNNR
0000104469	0009000084
0000104470	0009000047
0000104471	0009000225
0000104475	0009000050
0000104477	0009000066
0000104478	0009000050
0000104479	0009000109
0000104480	0009000109
0000104481	0009000109
0000104482	0009000109
0000104483	0009000190
0000104485	0009000151
0000104486	0009000185
0000104487	0009000084
0000104488	0009000225
0000104489	0009000181
0000104491	0009000109
0000104492	0009000109
0000104493	0009000083
0000104494	0009000109
0000104495	0009000109
0000104496	0009000109
0000104497	0009000109
0000104498	0009000109
0000104499	0009000109
0000104500	0009000190
0000104501	0009000050
0000104502	0009000151
0000104503	0009000084
0000104504	0009000084
0000104505	0009000225
