KUNNR,SALES_AREA_KUNNR,HKUNNR,SALES_AREA_HKUNNR
0000100848,00201010,0000581526,00201010
0000100849,00201010,0000500479,00201010
0000100851,00201010,0000578320,00201010
0000100860,00201010,0000500044,00201010
0000100861,00201010,0000500045,00201010
0000100862,00201010,0000500044,00201010
0000100863,00201010,0000500045,00201010
0000100865,00201010,0000550146,00201010
0000100868,00201010,0000501044,00201010
0000100869,00201010,0000550223,00201010
0000100870,00201010,0000550632,00201010
0000100874,00201010,0000501102,00201010
0000100875,00201010,0000550995,00201010
0000100876,00201010,0000500046,00201010
0000100877,00201010,0000500047,00201010
0000100878,00201010,0000500047,00201010
0000100879,00201010,0000550146,00201010
0000100880,00201010,0000579718,00201010
0000100881,00201010,0000579718,00201010
0000100882,00201010,0000550579,00201010
0000100883,00201010,0000550126,00201010
0000100884,00201010,0000500048,00201010
0000100885,00201010,0000500048,00201010
0000100886,00201010,0000558613,00201010
0000100887,00201010,0000500056,00201010
0000100888,00201010,0000572551,00201010
0000100889,00201010,0000578320,00201010
0000100890,00201010,0000550285,00201010
0000100891,00201010,0000550127,00201010
0000100893,00201010,0000550356,00201010
0000100894,00201010,0000500065,00201010
0000100896,00201010,0000550999,00201010
0000100897,00201010,0000555886,00201010
0000100898,00201010,0000555886,00201010
0000100899,00201010,0000550999,00201010
0000100900,00201010,0000550999,00201010
0000100901,00201010,0000550284,00201010
0000100903,00201010,0000500010,00201010
0000100905,00201010,0000550608,00201010
0000100906,00201010,0000550283,00201010
0000100907,00201010,0000550283,00201010
0000100908,00201010,0000550288,00201010
0000100909,00201010,0000550356,00201010
0000100910,00201010,0000550288,00201010
0000100911,00201010,0000550356,00201010
0000100912,00201010,0000550356,00201010
0000100913,00201010,0000550356,00201010
0000100914,00201010,0000550356,00201010
0000100915,00201010,0000550356,00201010
0000100916,00201010,0000550356,00201010
0000100918,00201010,0000550356,00201010
0000100919,00201010,0000550356,00201010
0000100920,00201010,0000550356,00201010
0000100921,00201010,0000550356,00201010
0000100922,00201010,0000550356,00201010
0000100923,00201010,0000550356,00201010
0000100924,00201010,0000550356,00201010
0000100925,00201010,0000550356,00201010
0000100926,00201010,0000550356,00201010
0000100928,00201010,0000550356,00201010
0000100929,00201010,0000550356,00201010
0000100930,00201010,0000550356,00201010
0000100931,00201010,0000550356,00201010
0000100932,00201010,0000550356,00201010
0000100933,00201010,0000550356,00201010
0000100934,00201010,0000550356,00201010
0000100935,00201010,0000550356,00201010
0000100936,00201010,0000550356,00201010
0000100937,00201010,0000550356,00201010
0000100938,00201010,0000550356,00201010
0000100939,00201010,0000550356,00201010
0000100940,00201010,0000550356,00201010
0000100941,00201010,0000550356,00201010
0000100942,00201010,0000550356,00201010
0000100943,00201010,0000550356,00201010
0000100944,00201010,0000550356,00201010
0000100945,00201010,0000550356,00201010
0000100946,00201010,0000550356,00201010
0000100947,00201010,0000550356,00201010
0000100948,00201010,0000550356,00201010
0000100949,00201010,0000550356,00201010
0000100950,00201010,0000550356,00201010
0000100951,00201010,0000550356,00201010
0000100952,00201010,0000550356,00201010
0000100953,00201010,0000550356,00201010
0000100954,00201010,0000550356,00201010
0000100955,00201010,0000550356,00201010
0000100956,00201010,0000550356,00201010
0000100957,00201010,0000550356,00201010
0000100958,00201010,0000550356,00201010
0000100959,00201010,0000550356,00201010
0000100960,00201010,0000550356,00201010
0000100961,00201010,0000550356,00201010
0000100962,00201010,0000550356,00201010
0000100963,00201010,0000550356,00201010
0000100964,00201010,0000550356,00201010
0000100965,00201010,0000550356,00201010
0000100966,00201010,0000550356,00201010
0000100967,00201010,0000550356,00201010
0000100968,00201010,0000550356,00201010
0000100969,00201010,0000550356,00201010
0000100970,00201010,0000550356,00201010
0000100971,00201010,0000550356,00201010
0000100972,00201010,0000550356,00201010
0000100973,00201010,0000550356,00201010
0000100974,00201010,0000550356,00201010
0000100975,00201010,0000550356,00201010
0000100976,00201010,0000550356,00201010
0000100977,00201010,0000550356,00201010
0000100978,00201010,0000550356,00201010
0000100979,00201010,0000550356,00201010
0000100980,00201010,0000550356,00201010
0000100981,00201010,0000550356,00201010
0000100982,00201010,0000550356,00201010
0000100984,00201010,0000550356,00201010
0000100985,00201010,0000550356,00201010
0000100986,00201010,0000550356,00201010
0000100987,00201010,0000550356,00201010
0000100988,00201010,0000550356,00201010
0000100989,00201010,0000550356,00201010
0000100990,00201010,0000550356,00201010
0000100991,00201010,0000550356,00201010
0000100992,00201010,0000550356,00201010
0000100993,00201010,0000550356,00201010
0000100994,00201010,0000550356,00201010
0000100995,00201010,0000550356,00201010
0000100996,00201010,0000550356,00201010
0000100997,00201010,0000550356,00201010
0000100998,00201010,0000550356,00201010
0000100999,00201010,0000550356,00201010
0000101000,00201010,0000550356,00201010
0000101001,00201010,0000550356,00201010
0000101002,00201010,0000550356,00201010
0000101003,00201010,0000550356,00201010
0000101004,00201010,0000550356,00201010
0000101005,00201010,0000550356,00201010
0000101006,00201010,0000550356,00201010
0000101007,00201010,0000550356,00201010
0000101008,00201010,0000550356,00201010
0000101009,00201010,0000550356,00201010
0000101010,00201010,0000550356,00201010
0000101011,00201010,0000550356,00201010
0000101012,00201010,0000550356,00201010
0000101013,00201010,0000550356,00201010
0000101014,00201010,0000550356,00201010
0000101015,00201010,0000550356,00201010
0000101016,00201010,0000550356,00201010
0000101017,00201010,0000550356,00201010
0000101018,00201010,0000550356,00201010
0000101019,00201010,0000550356,00201010
0000101020,00201010,0000550356,00201010
0000101021,00201010,0000550356,00201010
0000101022,00201010,0000550356,00201010
0000101023,00201010,0000550356,00201010
0000101024,00201010,0000550356,00201010
0000101025,00201010,0000550356,00201010
0000101026,00201010,0000550356,00201010
0000101027,00201010,0000550356,00201010
0000101028,00201010,0000550356,00201010
